seq	strand	score	tsd_len	polya_len	polya_offset	ext5	ext3	elem_len
OZ360582.1	-	16	16	19	321	1925	340	6198
OZ360585.1	-	16	16	17	361	1954	378	6263
OZ360588.1	+	13	16	15	320	2012	335	6280
OZ360590.1	+	14	14	17	233	1851	250	6125
OZ360590.1	-	16	16	16	304	2003	320	6258
OZ360595.1	-	16	19	19	315	1994	334	6264
OZ360598.1	+	16	16	15	252	1938	267	6138
OZ360599.1	-	20	20	29	253	2069	282	6283
OZ360603.1	-	15	15	15	323	1965	338	6239
OZ360603.1	-	15	15	23	295	2042	318	6297
OZ360603.1	-	17	20	27	390	2069	417	6422
OZ360605.1	+	20	20	16	549	2074	565	6548
OZ360606.1	-	13	13	22	980	1923	1002	6861
OZ360610.1	+	12	12	15	213	1673	228	5918
OZ360611.1	+	16	16	20	282	1959	302	6185
OZ360620.1	-	16	16	15	414	1977	429	6336
OZ360621.1	+	13	16	15	380	2074	395	6419
OZ360621.1	+	20	20	15	252	2072	267	6272
OZ360623.1	-	17	20	15	295	2036	310	6282
OZ360624.1	+	12	15	19	465	739	484	5153
OZ360624.1	+	20	20	18	278	2098	296	6326
OZ360625.1	-	14	14	15	218	1582	233	5792
OZ360632.1	+	12	12	15	216	1422	231	5669
OZ360632.1	+	12	15	17	187	1928	204	6071
OZ360633.1	-	15	15	15	239	1973	254	6157
OZ360636.1	+	16	16	15	445	1943	460	6349
OZ360636.1	+	16	16	16	445	1943	461	6352
OZ360637.1	-	12	12	23	408	1929	431	6308
OZ360642.1	+	16	16	20	215	1983	235	6151
OZ360643.1	+	15	15	15	181	1890	196	6025
OZ360644.1	+	14	14	17	213	1612	230	5859
OZ360655.1	-	15	15	18	186	1979	204	6119
OZ360656.1	-	12	12	17	261	1913	278	5978
OZ360657.1	+	13	13	15	323	1978	338	6234
OZ360660.1	+	17	20	16	297	2004	313	6253
OZ360660.1	+	17	20	22	252	2065	274	6272
OZ360664.1	+	16	16	16	231	1808	247	6089
OZ360666.1	+	12	15	17	255	1963	272	6175
OZ360666.1	+	14	14	16	453	1967	469	6360
OZ360666.1	-	20	20	20	277	2084	297	6316
OZ360669.1	-	14	14	15	192	1655	207	5828
OZ360669.1	-	17	20	16	361	2100	377	6407
OZ360671.1	-	16	16	17	231	1985	248	6166
OZ360680.1	-	15	15	16	188	1888	204	6112
OZ360681.1	-	16	16	18	221	1705	239	5950
OZ360684.1	+	12	12	18	181	2014	199	6158
OZ360684.1	-	16	16	16	229	1969	245	6147
OZ360687.1	+	14	14	24	185	1880	209	6028
OZ360702.1	-	20	20	17	298	1985	315	6244
OZ360713.1	-	14	14	18	204	1947	222	6102
OZ360717.1	+	17	20	15	297	2002	312	6250
OZ360717.1	+	20	20	19	430	2097	449	6474
OZ360724.1	+	20	20	17	345	2079	362	6373
OZ360725.1	-	15	15	21	282	1958	303	6194
OZ360725.1	-	20	20	15	358	2100	373	6407
OZ360725.1	-	20	20	17	1680	2083	1697	7713
OZ360743.1	+	20	20	19	445	1950	464	6362
OZ360752.1	-	20	20	17	304	1946	321	6203
OZ360760.1	-	12	12	22	225	1950	247	6130
OZ360769.1	-	16	16	15	253	1925	268	6127
OZ360773.1	-	14	14	28	345	1934	373	6240
OZ360775.1	-	13	13	15	183	1870	198	6007
OZ360775.1	-	13	13	16	183	1892	199	6026
OZ360788.1	+	16	16	19	2216	1944	2235	8102
