seq	strand	score	tsd_len	polya_len	polya_offset	ext5	ext3	elem_len
OZ488822.1	+	14	14	15	1958	1494	1973	5625
OZ488822.1	-	12	12	16	1935	1503	1951	5614
OZ488824.1	+	13	13	21	120	1545	141	5694
OZ488825.1	+	12	12	19	136	356	155	4863
OZ488826.1	+	13	13	24	2040	1302	2064	5518
OZ488826.1	+	13	13	34	2016	1344	2050	5545
OZ488826.1	-	11	11	16	124	1577	140	5724
OZ488826.1	-	15	15	21	122	1753	143	5901
OZ488827.1	-	13	13	17	1952	1336	1969	5471
OZ488828.1	+	14	14	23	116	1586	139	5723
OZ488828.1	-	20	20	23	2060	1569	2083	5799
OZ488829.1	+	15	15	19	2044	1580	2063	5785
OZ488829.1	-	12	12	18	128	1572	146	5727
OZ488830.1	+	16	16	15	2065	1407	2080	5632
OZ488832.1	+	12	12	15	140	1971	155	6103
OZ488832.1	+	13	13	15	2019	1529	2034	5714
OZ488833.1	+	11	11	15	2111	307	2126	4575
OZ488833.1	+	14	14	15	119	15	134	4089
OZ488833.1	-	17	20	15	2075	687	2090	4913
OZ488834.1	+	11	11	15	165	1392	180	5567
OZ488835.1	+	11	11	23	124	1469	147	5627
