seq	strand	score	tsd_len	polya_len	polya_offset	ext5	ext3	elem_len
OZ282558.1	+	13	13	18	130	1729	148	5839
OZ282558.1	+	14	14	15	126	15	141	4211
OZ282558.1	-	14	14	15	2061	1512	2076	5733
OZ282559.1	+	12	12	16	2012	1496	2028	5676
OZ282559.1	-	14	14	15	126	1683	141	5787
OZ282560.1	+	14	14	16	2116	362	2132	4633
OZ282561.1	+	12	12	24	2180	1908	2204	6254
OZ282561.1	+	14	14	22	131	1569	153	5729
OZ282562.1	-	11	11	17	1972	1758	1989	5914
OZ282563.1	-	15	15	19	2070	646	2089	4874
OZ282564.1	+	11	11	17	119	1643	136	5797
OZ282565.1	-	11	11	16	136	688	152	4820
OZ282566.1	-	11	20	28	139	1770	167	5924
OZ282566.1	-	12	12	18	134	958	152	5130
OZ282567.1	+	14	17	15	164	2058	179	6234
OZ282568.1	-	12	12	21	128	1553	149	5719
OZ282570.1	+	12	12	20	117	1651	137	5801
